file,energy_0,homogenity_0,entropy_0,contras_0,energy_45,homogenity_45,entropy_45,contras_45,energy_90,homogenity_90,entropy_90,contras_90,energy_135,homogenity_135,entropy_135,contras_135
dataset/mahoni (29).jpg,0.0005238802163044677,96.44171717171798,7.811613703838295,95.44171717171619,0.000507893011131697,101.60065299459262,7.829273750072319,100.60065299459222,0.0006440771349862331,67.8211111111115,7.624867312312295,66.82111111111081,0.0005148721033467344,97.76825252064594,7.761680305167188,96.77509246592618
dataset/mahoni (3).jpg,0.0006897204366901507,104.11555555555572,7.554292301278937,103.1155555555549,0.0006290781907370188,124.72686460565309,7.633385398071172,123.72686460565201,0.0006290990715233295,125.40888888888942,7.635602012772053,124.40888888888867,0.0006263804916498408,122.53027309114837,7.586114499647735,121.53711303642845
dataset/mahoni (30).jpg,0.0003103968982756809,216.72161616161682,8.306191586202708,215.72161616161475,0.0003081680507917073,216.51464136312745,8.299340740229685,215.51464136312708,0.0003377461483522034,175.765757575758,8.226112856258114,174.7657575757553,0.0003030426179653803,217.40761007245206,8.257614845426717,216.41445001773184
dataset/mahoni (31).jpg,0.0004374859708192992,163.8398989898994,8.010282211854664,162.83989898989745,0.00043715047286110555,170.18549127640014,8.010624036654058,169.18549127640009,0.0005309254157739149,119.18747474747515,7.8514170843657025,118.1874747474741,0.0004326437158950739,165.48117748391473,7.955729152649403,164.48801742919318
dataset/mahoni (32).jpg,0.0004146362616059465,135.08020202020222,8.083351535914376,134.08020202020043,0.0003617493684988167,191.7272727272731,8.21562254663936,190.72727272727263,0.0003596469747984766,192.2864646464661,8.221446059235737,191.28646464646187,0.00035094927901128877,193.84546790292478,8.179967246575128,192.85230784820234
dataset/mahoni (33).jpg,0.0006177073767983031,71.67747474747492,7.737401053370411,70.67747474747429,0.0006103033886222312,76.48464442403879,7.75209915371346,75.48464442403775,0.0007257269666360764,54.124343434343494,7.582683955527305,53.12434343434315,0.0006096431950032113,73.77108983128082,7.697223492675685,72.77792977656128
dataset/mahoni (34).jpg,0.0004776706458524547,140.63444444444505,7.988970024580051,139.63444444444264,0.0004753090739987428,143.09713294561817,7.990118938149734,142.09713294561718,0.0007233802673196771,65.28434343434344,7.618703905142303,64.2843434343429,0.0004724333014813762,141.2600699194406,7.936192951295317,140.26690986472082
dataset/mahoni (35).jpg,0.000489898989898993,160.2125252525258,7.959691655658423,159.21252525252396,0.00048590666121962233,158.7642077339045,7.963031771386565,157.764207733904,0.0005278951127436108,128.896767676768,7.897202575099978,127.89676767676704,0.00048626467484518785,163.2550032933071,7.900806411128563,162.26184323858655
dataset/mahoni (36).jpg,0.00036351902867053293,116.69030303030316,8.2504719503304,115.69030303030159,0.00036695967537902157,121.915926946231,8.252664637500395,120.91592694622953,0.0004431333537394035,92.3705050505051,8.098240247797152,91.37050505050391,0.0003558061755228577,121.93413386026187,8.208940496014508,120.94097380554243
dataset/mahoni (37).jpg,0.00047762983369043014,99.16151515151601,7.9666190022801295,98.1615151515142,0.00047261803637929645,100.9676563615963,7.97618928945867,99.96765636159523,0.0007317875726966837,43.58616161616199,7.579209225911319,42.58616161616138,0.0004748001400562525,98.82190809140133,7.913279190340178,97.82874803668192
dataset/mahoni (38).jpg,0.0003453933272114902,251.16787878788034,8.311638143741504,250.16787878787557,0.0003420532633692435,272.6621773288424,8.320487422763735,271.6621773288418,0.00034921946740126727,258.63808080808155,8.298201171912018,257.63808080807837,0.00033756457583406115,265.4416578000717,8.267576094562358,264.44849774534924
dataset/mahoni (39).jpg,0.0005252831343740651,91.64131313131301,7.838536566994943,90.6413131313126,0.0005111930456592187,96.18375675951472,7.86088616751148,95.18375675951391,0.0005984236302418343,77.8290909090909,7.734759872262327,76.82909090909055,0.0005056563219109481,96.48761209910248,7.806043512580674,95.49445204438297
dataset/mahoni (4).jpg,0.00033747576777878614,167.87787878788015,8.24668117525821,166.87787878787677,0.00033248628630051005,171.69645954494553,8.257527970729107,170.69645954494456,0.00037079379655136167,129.64030303030387,8.153427809628216,128.64030303030074,0.00032240346019066224,175.9316005471954,8.222866446350357,174.9384404924758
dataset/mahoni (40).jpg,0.0003243546576879846,181.5177777777791,8.28474676319336,180.5177777777745,0.0003265472651713263,186.67513519028782,8.280829461698014,185.67513519028702,0.00036092745638199544,150.08828282828262,8.199036331982995,149.0882828282811,0.0003201393044173005,189.47378020975844,8.247203984995945,188.48062015503703
dataset/mahoni (41).jpg,0.0004890776451382497,145.30959595959695,7.952966558514955,144.30959595959428,0.0004932614700325338,146.58636873788475,7.948652593861109,145.58636873788373,0.0006603866952351999,73.81707070707087,7.663455188130244,72.81707070707004,0.00048458581104044514,144.20448903075496,7.91043562401298,143.2113289760338
dataset/mahoni (42).jpg,0.00045937149270480803,140.4091919191933,8.077836024303858,139.40919191918968,0.00045734106265960276,143.3487399244978,8.08270126697487,142.34873992449718,0.0005200030609121843,117.17595959596026,7.978336116159835,116.17595959595863,0.0004488932692345085,140.45295637634837,8.033151771922967,139.4597963216294
dataset/mahoni (43).jpg,0.00042763493521068285,161.84191919191997,8.05658988274289,160.84191919191787,0.0004307169670629635,162.32262014080246,8.048570572922081,161.32262014080226,0.000608315478012467,78.26101010101038,7.7395750553202465,77.26101010100946,0.0004239156777664618,162.07559406191427,8.005444391163635,161.0824340071932
dataset/mahoni (44).jpg,0.0003808590960105917,222.645353535355,8.275042121576607,221.64535353534995,0.0003798683277895037,227.88939904091527,8.283203885104113,226.88939904091433,0.0004023109886746045,199.01242424242503,8.230610609646359,198.01242424242076,0.00037386294616892086,224.0058772863161,8.227747493370659,223.01271723159334
dataset/mahoni (45).jpg,0.00041844199571471194,151.83141414141483,8.129173671210733,150.8314141414113,0.0004084599518584061,158.22375267829796,8.145930233438945,157.2237526782967,0.0005081777369656298,100.96757575757641,7.964837157149876,99.9675757575742,0.00041651738191744687,145.32350407863265,8.068085774681894,144.33034402391323
dataset/mahoni (46).jpg,0.0007298642995612989,60.23111111111119,7.620007344123931,59.23111111111055,0.0006051243123526927,85.4194469952049,7.793233267410088,84.4194469952043,0.0006068819508213804,85.31545454545451,7.796328136875308,84.31545454545345,0.0005918533996410953,86.93560318184038,7.754967986173287,85.94244312712102
